A.D. Posey|Gratitude is the gateway to a positive life.
Aniekee Tochukwu Ezekiel|Crowns belong to those that serve.
Thich Nhat Hanh|The energy of mindfulness has the element of friendship and loving kindness in it.
Stacie Hammond|Everything can turn around in a moment, if you just change your thoughts, and make different decisions. Listen to your heart.
Roy T. Bennett|Be mindful. Be grateful. Be positive. Be true. Be kind.
Amit Ray|Every moment nature is serving fresh dishes with the items of happiness. It is our choice to recognize and taste it.
Sheniz Janmohamed|with each measured step,. we know. this earth is only as solid. as we are.
Rasheed Ogunlaru|Enlightenment is not about attaining an ultimate level of intelligence or intellect. It is regained by shedding all the ideas, illusion and binds thrust on you and that you then so readily accrue.
Thich Nhat Hanh|Every day we are engaged in a miracle which we don't even recognize: a blue sky, white clouds, green leaves, the black, curious eyes of a child - our own two eyes. All is a miracle.
Rashedur Rahman|Simply just BE GRATEFUL what you have today, there is millions who'are crying for the place where you are today
Lidiya K.|Everything real is in the present moment. Only here can we find happiness and harmony, feel alive and do something that will change our future. Only here can we be with the people we love, enjoy the things we like and see beautiful places.
Thich Nhat Hanh|Meditation is to be aware of what is going on: in your body, in your feelings, in your mind, and in the world.
Toni Sorenson|Be aware of the voices in your head. Identify them. Just because you hear it doesn’t mean it’s your voice saying it. And just because you think it doesn’t mean it’s true.
Bert McCoy|I teach what compels us to question our reality
Earthschool Harmony|May you always remember the Beloved is your divine and sacred self.
Lidiya K.|No ideals. No illusions. Just reality - but more perfect than you’ve ever imagined. That’s what being mindful and living in the present means.
Aditya Ajmera|The mind which is reluctant to change or alter is "ME and I". The mind which is ready to get empty and altered is "BUDDHA".
Lidiya K.|Mindfulness helps you understand that the past is gone, can’t be changed and all the lessons are already learned.
Christina Feldman|Compassion is a fundamental principle of meditation. Meditation is not a narcissistic, self-interested path. It provides the foundation for love, integrity, compassion, respect and sensitivity (Feldman, 1998, p.2).
Halit Ziya Uşaklıgil/Sefile|Durdu, tereddüd etti.
Rasheed Ogunlaru|Enlightenment is not about attaining a ultimate level of intelligence or intellect. It is regained by shedding all the ideas, illusion and binds thrust on you and that you then so readily accrue.
Rick Perlstein|Do what you are doing. Monastic motto
Martin Stepek|Vast skies in the Australian desert. waves that don't move. we slide surf glide like condors
Miranda July|I felt like I wasn’t living thoroughly enough — I was distracted in ways I wouldn’t be if I’d been born in 1929.
Munia Khan|My mind’s flight rises beneath the seagull’s wings . …then ocean is my motherland I feel
Jose Incer|Mindfulness is essential in our path toward personal growth. We cannot cannot change what we are not aware of.
Aberjhani|Discourse and critical thinking are essential tools when it comes to securing progress in a democratic society. But in the end, unity and engaged participation are what make it happen.
Nikki Rowe|You learn who you are by unlearning who they taught you to be.
Mary Doria Russell|My experience is that many things are not as bad as I thought they would be.
Rasheed Ogunlaru|Thought for the day: we have far too many of them. And we prize them too highly; more so than we do the power of silence, mindfulness and pure kindness.
Rasheed Ogunlaru|One of the fascinating things about our lives - and minds - is that tend to spend years wishing and wanting others and the world around to see in us that which we ourselves do not appreciate fully.
Lailah Gifty Akita|Mediation on the Scriptures will renew your mind.
Gary   Hopkins|If you make time for the nonsense, good or bad, it will continue to seek you out.
Gary   Hopkins|Healing ultimately comes down to whether or not you have made the decision to do so.
Pico Iyer|... a man sitting still is alone, often, with the memory of all he doesn't have. And what he does have can look very much like nothing.
Rasheed Ogunlaru|There is nothing you lack and all you will find; we are one at the heart - just divided by mind. Don't let life pass you by.
Azra Kohen|Gitmek istediğimiz yerden bizi uzaklaştıracak tepkiler verip, sonra da adaletsizliğe sığınmak tam insana göre.
Rasheed Ogunlaru|Until you are clear nothing will be. The moment you are clear everything will be.
Rasheed Ogunlaru|The pathway to enlightenment, transformation and liberation is the heart not the mind.
Aimee Halpin|You have more power over your mind than you realize. The time to strengthen it is now.
Renee Cefalu|What goes on in our heads solely determines the level at which we function in society, our physical health, and the degree of our mental and emotional stability and maturity.
Rasheed Ogunlaru|Gratitude is the best food to start and sustain you. Hankering creates hunger, unhappiness, bellyache, headache and heartache - and often leaves a bitter taste
Michael R.  Fletcher|One truism lay underneath every choice and word: change what people think and you change the world.
Amit Ray|Breathing is our participation with the cosmic dance. When our breath is in harmony, cosmos nourishes us in every sense.
